user_id,ticker,event_type,interaction_weight,timestamp
U00001,FAS029,buy,4.0,2022-03-27
U00001,FAS043,watchlist,2.0,2022-03-30
U00001,FAS060,buy,4.0,2022-06-21
U00001,FAS015,buy,4.0,2022-07-20
U00001,FAS048,view,1.0,2022-08-06
U00001,FAS032,buy,4.0,2022-09-09
U00001,FAS026,watchlist,2.0,2023-01-15
U00001,FAS040,view,1.0,2023-04-08
U00001,FAS008,view,1.0,2023-05-30
U00001,FAS020,watchlist,2.0,2023-09-09
U00001,FAS016,buy,4.0,2024-02-25
U00001,FAS003,view,1.0,2024-03-08
U00001,FAS049,watchlist,2.0,2024-04-17
U00001,FAS051,view,1.0,2024-05-17
U00001,FAS044,view,1.0,2024-06-04
U00001,FAS002,view,1.0,2024-07-01
U00002,FAS008,view,1.0,2022-07-08
U00002,FAS051,watchlist,2.0,2023-01-12
U00002,FAS045,watchlist,2.0,2023-05-10
U00002,FAS060,view,1.0,2023-05-28
U00002,FAS031,buy,4.0,2023-10-31
U00002,FAS011,watchlist,2.0,2023-11-23
U00002,FAS043,buy,4.0,2023-12-30
U00002,FAS003,view,1.0,2024-05-12
U00002,FAS013,watchlist,2.0,2024-06-11
U00002,FAS042,view,1.0,2024-07-08
U00003,FAS004,watchlist,2.0,2022-01-20
U00003,FAS045,view,1.0,2022-05-06
U00003,FAS048,view,1.0,2022-05-13
U00003,FAS015,view,1.0,2022-08-05
U00003,FAS016,view,1.0,2022-08-26
U00003,FAS001,watchlist,2.0,2022-10-12
U00003,FAS049,watchlist,2.0,2022-11-05
U00003,FAS024,buy,4.0,2022-12-02
U00003,FAS023,view,1.0,2023-09-30
U00003,FAS020,view,1.0,2023-11-02
U00003,FAS042,watchlist,2.0,2023-11-18
U00003,FAS007,view,1.0,2024-04-06
U00004,FAS015,watchlist,2.0,2022-03-11
U00004,FAS016,watchlist,2.0,2022-08-12
U00004,FAS033,buy,4.0,2023-02-25
U00004,FAS050,view,1.0,2023-03-14
U00004,FAS027,watchlist,2.0,2023-06-04
U00004,FAS020,watchlist,2.0,2023-09-21
U00004,FAS028,view,1.0,2024-03-19
U00005,FAS031,view,1.0,2022-02-19
U00005,FAS054,buy,4.0,2022-03-09
U00005,FAS036,buy,4.0,2022-04-11
U00005,FAS001,view,1.0,2022-06-12
U00005,FAS048,watchlist,2.0,2022-08-04
U00005,FAS023,view,1.0,2022-08-07
U00005,FAS045,buy,4.0,2022-08-20
U00005,FAS059,buy,4.0,2022-09-02
U00005,FAS032,watchlist,2.0,2022-09-23
U00005,FAS002,view,1.0,2022-11-30
U00005,FAS050,buy,4.0,2023-02-05
U00005,FAS038,view,1.0,2023-04-04
U00005,FAS039,view,1.0,2023-06-30
U00005,FAS018,buy,4.0,2024-01-19
U00005,FAS033,buy,4.0,2024-06-07
U00006,FAS012,view,1.0,2022-04-05
U00006,FAS023,view,1.0,2022-07-07
U00006,FAS031,watchlist,2.0,2022-07-26
U00006,FAS041,watchlist,2.0,2022-08-02
U00006,FAS043,buy,4.0,2022-10-02
U00006,FAS007,view,1.0,2022-11-05
U00006,FAS009,view,1.0,2023-09-06
U00006,FAS056,watchlist,2.0,2023-10-18
U00007,FAS022,watchlist,2.0,2022-01-08
U00007,FAS044,view,1.0,2022-05-16
U00007,FAS046,buy,4.0,2022-08-11
U00007,FAS015,watchlist,2.0,2022-09-24
U00007,FAS058,watchlist,2.0,2022-11-26
U00007,FAS033,view,1.0,2022-11-27
U00007,FAS052,watchlist,2.0,2022-12-05
U00007,FAS012,buy,4.0,2023-02-05
U00007,FAS026,watchlist,2.0,2023-02-06
U00007,FAS036,view,1.0,2023-06-25
U00007,FAS054,view,1.0,2024-01-31
U00007,FAS002,watchlist,2.0,2024-02-16
U00007,FAS001,view,1.0,2024-06-04
U00007,FAS009,watchlist,2.0,2024-09-10
U00007,FAS042,watchlist,2.0,2024-11-05
U00008,FAS007,buy,4.0,2022-07-08
U00008,FAS010,view,1.0,2022-10-24
U00008,FAS046,watchlist,2.0,2023-07-21
U00008,FAS049,view,1.0,2023-07-26
U00008,FAS024,watchlist,2.0,2023-08-28
U00008,FAS045,watchlist,2.0,2023-09-03
U00008,FAS048,view,1.0,2023-10-15
U00008,FAS006,watchlist,2.0,2024-03-05
U00008,FAS020,view,1.0,2024-04-07
U00008,FAS043,view,1.0,2024-04-08
U00008,FAS035,watchlist,2.0,2024-04-13
U00008,FAS052,view,1.0,2024-05-07
U00009,FAS006,watchlist,2.0,2023-02-24
U00009,FAS042,view,1.0,2023-05-27
U00009,FAS031,buy,4.0,2023-07-10
U00009,FAS026,view,1.0,2023-07-23
U00009,FAS035,view,1.0,2023-07-26
U00009,FAS002,view,1.0,2023-12-26
U00009,FAS028,watchlist,2.0,2024-01-12
U00009,FAS060,view,1.0,2024-02-06
U00010,FAS012,buy,4.0,2022-01-17
U00010,FAS015,view,1.0,2022-01-23
U00010,FAS026,watchlist,2.0,2022-05-29
U00010,FAS029,view,1.0,2022-12-13
U00010,FAS028,view,1.0,2023-01-11
U00010,FAS049,watchlist,2.0,2023-04-14
U00010,FAS005,watchlist,2.0,2023-06-30
U00010,FAS054,watchlist,2.0,2023-07-04
U00010,FAS027,watchlist,2.0,2023-07-22
U00010,FAS004,view,1.0,2023-08-12
U00010,FAS007,buy,4.0,2023-08-26
U00010,FAS035,watchlist,2.0,2023-10-09
U00010,FAS010,view,1.0,2023-12-08
U00010,FAS001,buy,4.0,2024-02-29
U00010,FAS055,view,1.0,2024-04-15
U00010,FAS030,buy,4.0,2024-06-10
U00011,FAS057,view,1.0,2022-02-05
U00011,FAS048,view,1.0,2022-02-20
U00011,FAS018,view,1.0,2022-07-09
U00011,FAS053,buy,4.0,2022-10-18
U00011,FAS033,view,1.0,2022-11-18
U00011,FAS005,view,1.0,2023-01-05
U00011,FAS024,view,1.0,2023-02-19
U00011,FAS022,view,1.0,2023-05-25
U00011,FAS039,buy,4.0,2023-07-14
U00011,FAS051,view,1.0,2023-07-24
U00011,FAS035,view,1.0,2024-01-05
U00011,FAS007,buy,4.0,2024-01-26
U00011,FAS001,watchlist,2.0,2024-03-18
U00012,FAS012,view,1.0,2022-01-01
U00012,FAS035,view,1.0,2022-03-05
U00012,FAS037,buy,4.0,2022-04-21
U00012,FAS025,buy,4.0,2022-05-03
U00012,FAS051,watchlist,2.0,2022-05-09
U00012,FAS036,watchlist,2.0,2022-05-11
U00012,FAS048,view,1.0,2022-10-29
U00012,FAS019,view,1.0,2023-04-24
U00012,FAS046,watchlist,2.0,2023-05-05
U00012,FAS030,watchlist,2.0,2023-11-18
U00012,FAS045,watchlist,2.0,2023-11-26
U00012,FAS015,view,1.0,2024-03-04
U00012,FAS040,view,1.0,2024-09-30
U00013,FAS038,buy,4.0,2022-07-19
U00013,FAS033,view,1.0,2023-05-21
U00013,FAS060,view,1.0,2023-06-25
U00013,FAS046,watchlist,2.0,2024-01-13
U00013,FAS057,watchlist,2.0,2024-04-28
U00013,FAS024,view,1.0,2024-05-16
U00013,FAS008,view,1.0,2024-07-12
U00014,FAS005,watchlist,2.0,2022-01-29
U00014,FAS021,watchlist,2.0,2022-06-06
U00014,FAS060,view,1.0,2022-07-02
U00014,FAS013,buy,4.0,2022-08-01
U00014,FAS009,view,1.0,2022-10-14
U00014,FAS057,watchlist,2.0,2022-10-28
U00014,FAS018,watchlist,2.0,2023-05-16
U00014,FAS059,buy,4.0,2023-11-04
U00014,FAS043,view,1.0,2024-03-24
U00014,FAS039,view,1.0,2024-03-30
U00014,FAS042,watchlist,2.0,2024-04-15
U00014,FAS004,view,1.0,2024-07-10
U00014,FAS015,buy,4.0,2024-09-15
U00015,FAS043,view,1.0,2022-01-30
U00015,FAS028,watchlist,2.0,2023-03-28
U00015,FAS049,view,1.0,2023-06-11
U00015,FAS015,watchlist,2.0,2023-11-05
U00015,FAS008,view,1.0,2023-11-06
U00015,FAS003,view,1.0,2023-12-11
U00015,FAS045,buy,4.0,2023-12-22
U00015,FAS059,watchlist,2.0,2024-01-31
U00015,FAS021,view,1.0,2024-04-09
U00015,FAS057,view,1.0,2024-04-22
U00015,FAS026,watchlist,2.0,2024-06-05
U00015,FAS030,buy,4.0,2024-07-08
U00015,FAS036,watchlist,2.0,2024-07-23
U00015,FAS007,view,1.0,2024-09-30
U00016,FAS008,view,1.0,2022-07-15
U00016,FAS024,view,1.0,2022-10-03
U00016,FAS060,buy,4.0,2023-01-22
U00016,FAS033,buy,4.0,2024-01-24
U00016,FAS029,buy,4.0,2024-02-24
U00016,FAS058,buy,4.0,2024-05-27
U00016,FAS043,view,1.0,2024-07-07
U00017,FAS009,view,1.0,2022-06-22
U00017,FAS056,view,1.0,2023-02-11
U00017,FAS052,watchlist,2.0,2023-11-24
U00017,FAS037,watchlist,2.0,2024-01-07
U00017,FAS032,watchlist,2.0,2024-01-26
U00017,FAS010,watchlist,2.0,2024-03-04
U00018,FAS041,view,1.0,2022-10-12
U00018,FAS001,view,1.0,2022-12-03
U00018,FAS017,view,1.0,2023-06-03
U00018,FAS039,watchlist,2.0,2023-06-09
U00018,FAS023,view,1.0,2023-10-21
U00018,FAS058,view,1.0,2024-02-18
U00019,FAS031,watchlist,2.0,2022-06-02
U00019,FAS049,buy,4.0,2022-08-18
U00019,FAS007,view,1.0,2022-12-07
U00019,FAS003,view,1.0,2023-03-18
U00019,FAS015,view,1.0,2023-07-20
U00019,FAS047,buy,4.0,2023-11-21
U00019,FAS026,view,1.0,2024-04-29
U00019,FAS044,buy,4.0,2024-07-11
U00019,FAS055,view,1.0,2024-09-07
U00019,FAS035,view,1.0,2024-09-21
U00019,FAS048,buy,4.0,2024-09-25
U00020,FAS047,watchlist,2.0,2022-04-21
U00020,FAS054,buy,4.0,2022-05-07
U00020,FAS056,watchlist,2.0,2022-05-13
U00020,FAS003,watchlist,2.0,2023-04-08
U00020,FAS001,view,1.0,2023-08-10
U00020,FAS004,view,1.0,2023-08-22
U00020,FAS016,buy,4.0,2023-09-24
U00020,FAS007,view,1.0,2023-12-20
U00020,FAS021,buy,4.0,2024-01-14
U00020,FAS053,buy,4.0,2024-03-09
U00021,FAS012,view,1.0,2022-05-28
U00021,FAS024,watchlist,2.0,2022-07-13
U00021,FAS020,watchlist,2.0,2022-12-13
U00021,FAS008,view,1.0,2023-05-06
U00021,FAS013,buy,4.0,2023-07-24
U00021,FAS049,view,1.0,2023-10-20
U00021,FAS026,view,1.0,2024-06-27
U00021,FAS010,buy,4.0,2024-10-06
U00022,FAS034,view,1.0,2022-01-09
U00022,FAS057,watchlist,2.0,2022-02-01
U00022,FAS056,view,1.0,2022-03-03
U00022,FAS005,view,1.0,2022-05-17
U00022,FAS029,buy,4.0,2022-07-10
U00022,FAS049,watchlist,2.0,2022-12-06
U00022,FAS021,view,1.0,2023-02-01
U00022,FAS052,view,1.0,2023-06-23
U00022,FAS033,buy,4.0,2023-07-08
U00022,FAS027,buy,4.0,2023-08-23
U00022,FAS019,view,1.0,2023-11-29
U00022,FAS006,buy,4.0,2023-12-19
U00022,FAS020,view,1.0,2024-01-04
U00022,FAS007,buy,4.0,2024-03-02
U00022,FAS059,view,1.0,2024-04-22
U00022,FAS014,watchlist,2.0,2024-10-26
U00023,FAS012,watchlist,2.0,2022-06-18
U00023,FAS003,watchlist,2.0,2022-06-19
U00023,FAS048,watchlist,2.0,2022-06-23
U00023,FAS034,view,1.0,2022-06-30
U00023,FAS047,view,1.0,2022-09-19
U00023,FAS035,watchlist,2.0,2022-11-18
U00023,FAS008,watchlist,2.0,2022-12-03
U00023,FAS009,watchlist,2.0,2023-03-21
U00023,FAS049,watchlist,2.0,2023-07-12
U00023,FAS050,watchlist,2.0,2023-07-27
U00023,FAS043,buy,4.0,2023-10-05
U00023,FAS010,watchlist,2.0,2024-12-04
U00023,FAS001,view,1.0,2024-12-10
U00024,FAS049,buy,4.0,2022-06-05
U00024,FAS018,view,1.0,2022-08-09
U00024,FAS058,buy,4.0,2022-08-29
U00024,FAS032,watchlist,2.0,2022-10-09
U00024,FAS046,buy,4.0,2022-11-18
U00024,FAS052,view,1.0,2022-11-26
U00024,FAS029,view,1.0,2022-11-30
U00024,FAS025,watchlist,2.0,2022-12-05
U00024,FAS056,view,1.0,2023-05-02
U00024,FAS027,buy,4.0,2023-07-09
U00024,FAS047,view,1.0,2023-08-22
U00024,FAS033,buy,4.0,2023-12-25
U00024,FAS039,watchlist,2.0,2024-05-20
U00025,FAS049,watchlist,2.0,2022-05-14
U00025,FAS012,view,1.0,2022-05-16
U00025,FAS060,view,1.0,2022-05-26
U00025,FAS036,buy,4.0,2023-06-26
U00025,FAS001,watchlist,2.0,2023-06-28
U00025,FAS009,view,1.0,2023-08-03
U00025,FAS021,view,1.0,2023-08-19
U00025,FAS015,watchlist,2.0,2023-10-22
U00025,FAS004,watchlist,2.0,2024-01-21
U00025,FAS037,view,1.0,2024-04-08
U00025,FAS006,watchlist,2.0,2024-05-23
U00025,FAS014,watchlist,2.0,2024-06-27
U00025,FAS043,view,1.0,2024-11-08
U00026,FAS023,buy,4.0,2022-02-12
U00026,FAS038,view,1.0,2022-03-31
U00026,FAS025,watchlist,2.0,2022-05-27
U00026,FAS019,watchlist,2.0,2022-07-25
U00026,FAS052,view,1.0,2022-08-28
U00026,FAS058,view,1.0,2022-11-08
U00026,FAS039,view,1.0,2023-05-30
U00026,FAS004,watchlist,2.0,2023-08-15
U00026,FAS016,watchlist,2.0,2023-08-22
U00026,FAS009,buy,4.0,2023-09-09
U00026,FAS050,watchlist,2.0,2024-01-21
U00026,FAS027,buy,4.0,2024-02-11
U00027,FAS055,view,1.0,2022-03-08
U00027,FAS048,view,1.0,2022-03-14
U00027,FAS013,buy,4.0,2022-03-21
U00027,FAS052,view,1.0,2022-03-22
U00027,FAS046,watchlist,2.0,2022-06-01
U00027,FAS026,view,1.0,2022-08-25
U00027,FAS017,view,1.0,2022-10-26
U00027,FAS008,view,1.0,2022-10-26
U00027,FAS037,view,1.0,2022-12-25
U00027,FAS004,buy,4.0,2023-03-27
U00027,FAS024,view,1.0,2023-04-19
U00027,FAS025,buy,4.0,2023-05-12
U00027,FAS043,watchlist,2.0,2023-07-10
U00027,FAS003,watchlist,2.0,2023-11-16
U00027,FAS058,view,1.0,2024-03-09
U00027,FAS045,view,1.0,2024-04-03
U00028,FAS036,view,1.0,2022-06-23
U00028,FAS050,buy,4.0,2022-08-20
U00028,FAS032,view,1.0,2023-01-26
U00028,FAS035,watchlist,2.0,2023-05-02
U00028,FAS044,view,1.0,2023-05-09
U00028,FAS037,buy,4.0,2024-01-31
U00028,FAS005,view,1.0,2024-02-07
U00028,FAS051,view,1.0,2024-08-11
U00028,FAS009,watchlist,2.0,2024-09-20
U00029,FAS048,watchlist,2.0,2022-01-20
U00029,FAS043,view,1.0,2022-04-20
U00029,FAS004,view,1.0,2022-05-03
U00029,FAS057,watchlist,2.0,2022-07-18
U00029,FAS046,watchlist,2.0,2022-12-18
U00029,FAS005,buy,4.0,2023-06-06
U00029,FAS041,view,1.0,2023-09-07
U00029,FAS011,watchlist,2.0,2024-03-24
U00030,FAS058,buy,4.0,2022-05-03
U00030,FAS023,view,1.0,2022-05-31
U00030,FAS049,buy,4.0,2022-06-01
U00030,FAS036,view,1.0,2022-12-01
U00030,FAS057,view,1.0,2022-12-20
U00030,FAS003,view,1.0,2022-12-26
U00030,FAS027,view,1.0,2023-01-14
U00030,FAS041,watchlist,2.0,2023-03-12
U00030,FAS039,watchlist,2.0,2023-10-19
U00030,FAS022,buy,4.0,2023-11-20
U00030,FAS011,buy,4.0,2024-04-13
U00031,FAS043,watchlist,2.0,2022-06-09
U00031,FAS056,view,1.0,2022-08-08
U00031,FAS047,buy,4.0,2022-08-23
U00031,FAS034,buy,4.0,2022-11-04
U00031,FAS039,view,1.0,2023-06-06
U00031,FAS014,watchlist,2.0,2023-09-17
U00031,FAS021,watchlist,2.0,2023-12-02
U00031,FAS018,watchlist,2.0,2023-12-29
U00031,FAS009,view,1.0,2024-01-26
U00031,FAS049,view,1.0,2024-02-08
U00031,FAS057,watchlist,2.0,2024-03-08
U00031,FAS026,watchlist,2.0,2024-03-24
U00031,FAS046,buy,4.0,2024-05-09
U00031,FAS037,view,1.0,2024-05-21
U00031,FAS012,watchlist,2.0,2024-05-26
U00031,FAS022,view,1.0,2024-08-19
U00032,FAS014,view,1.0,2022-08-08
U00032,FAS058,view,1.0,2022-11-17
U00032,FAS050,watchlist,2.0,2022-12-22
U00032,FAS041,watchlist,2.0,2023-05-31
U00032,FAS053,view,1.0,2023-07-26
U00032,FAS023,buy,4.0,2023-11-24
U00032,FAS005,buy,4.0,2024-01-26
U00032,FAS054,watchlist,2.0,2024-03-01
U00032,FAS021,watchlist,2.0,2024-06-09
U00032,FAS034,watchlist,2.0,2024-06-30
U00032,FAS032,view,1.0,2024-08-07
U00033,FAS039,buy,4.0,2022-01-22
U00033,FAS041,view,1.0,2022-02-14
U00033,FAS052,watchlist,2.0,2022-02-23
U00033,FAS032,view,1.0,2022-03-19
U00033,FAS023,view,1.0,2022-03-24
U00033,FAS042,view,1.0,2022-06-30
U00033,FAS058,buy,4.0,2023-01-07
U00033,FAS031,view,1.0,2023-04-23
U00033,FAS033,buy,4.0,2023-07-02
U00033,FAS025,watchlist,2.0,2023-07-21
U00033,FAS026,view,1.0,2024-02-21
U00033,FAS027,view,1.0,2024-04-09
U00033,FAS018,watchlist,2.0,2024-04-13
U00033,FAS028,watchlist,2.0,2024-05-19
U00033,FAS034,view,1.0,2024-05-21
U00033,FAS009,view,1.0,2024-07-08
U00034,FAS053,view,1.0,2022-09-26
U00034,FAS009,watchlist,2.0,2022-09-26
U00034,FAS015,watchlist,2.0,2022-11-23
U00034,FAS002,view,1.0,2022-12-27
U00034,FAS046,watchlist,2.0,2023-03-08
U00034,FAS019,watchlist,2.0,2023-04-16
U00034,FAS039,watchlist,2.0,2023-12-24
U00034,FAS037,buy,4.0,2024-02-01
U00035,FAS046,watchlist,2.0,2022-04-02
U00035,FAS022,buy,4.0,2022-05-21
U00035,FAS007,buy,4.0,2022-05-27
U00035,FAS033,buy,4.0,2022-06-17
U00035,FAS009,view,1.0,2022-08-19
U00035,FAS021,watchlist,2.0,2023-06-26
U00035,FAS031,watchlist,2.0,2023-07-06
U00035,FAS057,watchlist,2.0,2023-10-05
U00035,FAS017,buy,4.0,2024-02-07
U00035,FAS036,buy,4.0,2024-07-15
U00036,FAS055,watchlist,2.0,2022-03-08
U00036,FAS043,buy,4.0,2022-06-02
U00036,FAS040,watchlist,2.0,2022-07-29
U00036,FAS041,view,1.0,2022-10-17
U00036,FAS029,view,1.0,2022-11-11
U00036,FAS013,view,1.0,2022-12-14
U00036,FAS045,view,1.0,2023-07-16
U00036,FAS033,buy,4.0,2023-09-01
U00036,FAS035,watchlist,2.0,2023-10-14
U00036,FAS036,watchlist,2.0,2023-11-17
U00036,FAS028,watchlist,2.0,2024-02-03
U00036,FAS004,view,1.0,2024-02-07
U00036,FAS054,view,1.0,2024-05-12
U00036,FAS023,view,1.0,2024-06-09
U00036,FAS059,watchlist,2.0,2024-09-02
U00037,FAS006,buy,4.0,2022-01-07
U00037,FAS037,view,1.0,2022-05-06
U00037,FAS051,watchlist,2.0,2022-09-28
U00037,FAS019,watchlist,2.0,2023-04-28
U00037,FAS009,watchlist,2.0,2023-07-07
U00037,FAS045,view,1.0,2023-07-11
U00037,FAS017,watchlist,2.0,2023-07-18
U00037,FAS049,watchlist,2.0,2023-08-23
U00038,FAS051,watchlist,2.0,2022-04-23
U00038,FAS020,view,1.0,2022-06-27
U00038,FAS055,watchlist,2.0,2023-01-23
U00038,FAS017,view,1.0,2023-01-31
U00038,FAS029,view,1.0,2023-04-23
U00038,FAS030,view,1.0,2023-06-14
U00038,FAS025,view,1.0,2023-07-13
U00038,FAS026,view,1.0,2023-10-11
U00039,FAS012,view,1.0,2022-01-13
U00039,FAS035,watchlist,2.0,2022-08-30
U00039,FAS039,view,1.0,2022-10-09
U00039,FAS044,view,1.0,2023-01-17
U00039,FAS019,buy,4.0,2023-05-25
U00039,FAS025,watchlist,2.0,2023-08-14
U00039,FAS009,buy,4.0,2023-11-24
U00039,FAS014,view,1.0,2024-08-05
U00039,FAS018,view,1.0,2024-10-09
U00040,FAS009,view,1.0,2022-05-13
U00040,FAS024,view,1.0,2023-04-23
U00040,FAS001,view,1.0,2023-05-03
U00040,FAS033,view,1.0,2023-05-21
U00040,FAS029,view,1.0,2023-09-22
U00040,FAS026,buy,4.0,2024-02-25
U00040,FAS014,buy,4.0,2024-03-29
U00040,FAS047,watchlist,2.0,2024-04-05
U00040,FAS011,view,1.0,2024-05-08
U00040,FAS031,view,1.0,2024-06-20
U00041,FAS059,watchlist,2.0,2022-01-08
U00041,FAS019,view,1.0,2022-02-05
U00041,FAS045,watchlist,2.0,2022-04-10
U00041,FAS012,view,1.0,2022-04-26
U00041,FAS008,watchlist,2.0,2022-05-26
U00041,FAS014,view,1.0,2022-08-13
U00041,FAS044,watchlist,2.0,2022-09-01
U00041,FAS020,watchlist,2.0,2023-01-23
U00041,FAS050,view,1.0,2023-02-24
U00041,FAS004,watchlist,2.0,2023-06-29
U00041,FAS060,buy,4.0,2023-12-19
U00041,FAS047,view,1.0,2024-01-03
U00041,FAS034,buy,4.0,2024-01-18
U00042,FAS033,buy,4.0,2022-03-13
U00042,FAS016,view,1.0,2022-08-15
U00042,FAS003,watchlist,2.0,2022-08-26
U00042,FAS041,watchlist,2.0,2022-10-14
U00042,FAS022,view,1.0,2022-11-17
U00042,FAS054,view,1.0,2023-01-06
U00042,FAS029,watchlist,2.0,2023-01-26
U00042,FAS053,view,1.0,2023-10-07
U00043,FAS041,watchlist,2.0,2022-05-11
U00043,FAS019,watchlist,2.0,2022-06-01
U00043,FAS054,buy,4.0,2022-06-03
U00043,FAS015,buy,4.0,2023-03-20
