user_id,age,experience_years,risk_profile,preferred_sector,investment_horizon
U00001,36,5,balanced,Consumer,long
U00002,67,7,conservative,Consumer,long
U00003,27,7,conservative,Technology,medium
U00004,67,3,aggressive,Utilities,short
U00005,45,4,balanced,Technology,long
U00006,23,4,conservative,Real Estate,medium
U00007,28,12,aggressive,Healthcare,medium
U00008,56,1,conservative,Real Estate,long
U00009,49,9,balanced,Energy,long
U00010,39,10,balanced,Energy,medium
U00011,53,15,aggressive,Real Estate,short
U00012,53,13,aggressive,Real Estate,medium
U00013,41,7,conservative,Technology,medium
U00014,67,0,conservative,Consumer,medium
U00015,42,14,balanced,Consumer,long
U00016,47,6,conservative,Consumer,long
U00017,70,11,balanced,Financials,medium
U00018,66,9,aggressive,Financials,short
U00019,64,2,aggressive,Consumer,medium
U00020,57,8,balanced,Technology,medium
U00021,70,12,balanced,Consumer,medium
U00022,56,1,aggressive,Industrials,short
U00023,40,8,balanced,Real Estate,long
U00024,53,5,aggressive,Financials,short
U00025,68,9,aggressive,Consumer,medium
U00026,66,6,conservative,Utilities,long
U00027,46,0,conservative,Consumer,long
U00028,21,2,aggressive,Financials,short
U00029,67,0,conservative,Industrials,medium
U00030,44,1,balanced,Healthcare,medium
U00031,23,10,balanced,Healthcare,long
U00032,54,2,balanced,Financials,long
U00033,33,1,conservative,Financials,medium
U00034,30,8,balanced,Consumer,medium
U00035,44,10,balanced,Energy,long
U00036,24,4,conservative,Industrials,medium
U00037,39,13,balanced,Utilities,medium
U00038,61,1,balanced,Energy,medium
U00039,40,8,balanced,Real Estate,long
U00040,66,12,balanced,Healthcare,long
U00041,60,2,balanced,Energy,medium
U00042,31,6,conservative,Healthcare,medium
U00043,48,8,balanced,Energy,long
U00044,61,1,conservative,Utilities,medium
U00045,34,3,balanced,Financials,long
U00046,63,6,conservative,Industrials,medium
U00047,22,11,balanced,Technology,long
U00048,44,8,aggressive,Healthcare,medium
U00049,28,3,conservative,Industrials,long
U00050,49,0,conservative,Healthcare,medium
U00051,33,6,balanced,Financials,long
U00052,24,7,balanced,Financials,medium
U00053,47,7,balanced,Real Estate,long
U00054,33,5,conservative,Healthcare,medium
U00055,59,1,conservative,Consumer,medium
U00056,70,8,aggressive,Healthcare,medium
U00057,62,5,balanced,Consumer,long
U00058,36,10,balanced,Industrials,medium
U00059,52,9,aggressive,Financials,medium
U00060,28,1,aggressive,Utilities,short
U00061,47,2,aggressive,Financials,short
U00062,29,13,balanced,Real Estate,long
U00063,48,0,conservative,Energy,medium
U00064,24,5,conservative,Utilities,medium
U00065,24,5,balanced,Healthcare,long
U00066,56,12,balanced,Energy,medium
U00067,51,9,balanced,Consumer,medium
U00068,23,13,aggressive,Financials,medium
U00069,58,9,aggressive,Energy,short
U00070,47,6,balanced,Utilities,medium
U00071,26,4,conservative,Utilities,long
U00072,49,8,balanced,Technology,medium
U00073,29,7,aggressive,Technology,medium
U00074,52,1,aggressive,Technology,short
U00075,66,5,balanced,Energy,long
U00076,60,3,balanced,Healthcare,long
U00077,22,15,aggressive,Utilities,medium
U00078,31,10,balanced,Consumer,long
U00079,39,7,balanced,Technology,medium
U00080,37,9,balanced,Consumer,long
U00081,26,10,balanced,Financials,medium
U00082,55,6,balanced,Industrials,medium
U00083,67,2,aggressive,Industrials,medium
U00084,50,7,balanced,Financials,medium
U00085,39,13,aggressive,Technology,medium
U00086,36,12,balanced,Consumer,long
U00087,23,11,balanced,Technology,medium
U00088,26,12,balanced,Financials,long
U00089,24,6,balanced,Energy,long
U00090,70,4,conservative,Industrials,long
U00091,51,8,aggressive,Utilities,short
U00092,28,4,conservative,Utilities,medium
U00093,49,13,balanced,Healthcare,medium
U00094,30,14,balanced,Healthcare,long
U00095,63,5,conservative,Utilities,medium
U00096,50,1,aggressive,Energy,short
U00097,40,5,balanced,Financials,medium
U00098,41,5,conservative,Energy,long
U00099,38,1,balanced,Industrials,medium
U00100,54,13,aggressive,Utilities,medium
U00101,63,12,balanced,Energy,medium
U00102,69,14,aggressive,Financials,short
U00103,34,11,aggressive,Real Estate,medium
U00104,25,2,conservative,Technology,long
U00105,58,6,balanced,Real Estate,long
U00106,49,3,conservative,Healthcare,medium
U00107,47,5,conservative,Energy,long
U00108,56,10,aggressive,Consumer,short
U00109,56,12,aggressive,Utilities,medium
U00110,55,7,balanced,Real Estate,long
U00111,27,2,balanced,Real Estate,long
U00112,37,7,conservative,Healthcare,long
U00113,32,15,balanced,Energy,medium
U00114,24,4,balanced,Energy,long
U00115,66,10,aggressive,Utilities,medium
U00116,29,1,balanced,Energy,long
U00117,49,11,aggressive,Industrials,medium
U00118,57,10,aggressive,Industrials,short
U00119,22,1,balanced,Healthcare,medium
U00120,54,15,aggressive,Financials,short
U00121,69,10,balanced,Technology,long
U00122,62,15,balanced,Financials,long
U00123,38,1,balanced,Financials,long
U00124,29,1,aggressive,Healthcare,medium
U00125,50,6,balanced,Energy,long
U00126,50,1,balanced,Financials,medium
U00127,53,10,aggressive,Utilities,short
U00128,60,6,balanced,Healthcare,long
U00129,54,1,balanced,Technology,long
U00130,51,9,aggressive,Energy,short
U00131,42,15,aggressive,Utilities,short
U00132,56,6,balanced,Healthcare,long
U00133,61,8,balanced,Utilities,medium
U00134,21,0,conservative,Technology,long
U00135,70,4,conservative,Technology,long
U00136,29,11,balanced,Financials,medium
U00137,68,1,conservative,Industrials,medium
U00138,63,7,aggressive,Energy,medium
U00139,43,2,conservative,Utilities,long
U00140,62,5,conservative,Financials,medium
U00141,22,2,balanced,Healthcare,medium
U00142,48,1,balanced,Healthcare,long
U00143,26,6,conservative,Healthcare,medium
U00144,34,5,conservative,Financials,long
U00145,52,10,aggressive,Healthcare,short
U00146,67,11,balanced,Industrials,medium
U00147,55,3,aggressive,Technology,short
U00148,53,6,conservative,Consumer,long
U00149,59,2,aggressive,Energy,medium
U00150,36,7,conservative,Real Estate,medium
U00151,58,15,balanced,Healthcare,long
U00152,63,3,aggressive,Energy,medium
U00153,61,7,conservative,Energy,medium
U00154,35,2,conservative,Consumer,medium
U00155,54,10,balanced,Energy,medium
U00156,26,14,balanced,Technology,medium
U00157,58,14,balanced,Financials,long
U00158,54,10,balanced,Utilities,medium
U00159,42,15,aggressive,Real Estate,medium
U00160,53,2,balanced,Healthcare,medium
U00161,63,13,aggressive,Technology,short
U00162,59,7,aggressive,Utilities,medium
U00163,41,10,aggressive,Industrials,short
U00164,61,11,balanced,Technology,medium
U00165,55,2,conservative,Industrials,medium
U00166,51,7,aggressive,Technology,medium
U00167,44,5,balanced,Real Estate,long
U00168,27,13,aggressive,Energy,short
U00169,24,5,conservative,Consumer,medium
U00170,68,3,conservative,Technology,long
U00171,67,3,balanced,Healthcare,long
U00172,40,11,balanced,Real Estate,long
U00173,30,4,conservative,Real Estate,long
U00174,70,12,aggressive,Utilities,medium
U00175,40,9,balanced,Utilities,long
U00176,41,3,conservative,Technology,long
U00177,58,1,conservative,Industrials,long
U00178,32,2,conservative,Industrials,medium
U00179,22,11,balanced,Financials,medium
U00180,21,6,aggressive,Real Estate,short
U00181,57,3,balanced,Utilities,long
U00182,70,7,balanced,Real Estate,medium
U00183,55,1,aggressive,Consumer,short
U00184,35,15,balanced,Real Estate,medium
U00185,54,4,conservative,Industrials,medium
U00186,70,11,balanced,Industrials,medium
U00187,29,7,conservative,Energy,long
U00188,22,6,conservative,Technology,long
U00189,38,1,conservative,Technology,medium
U00190,37,0,conservative,Energy,medium
U00191,25,3,balanced,Utilities,long
U00192,54,15,balanced,Technology,long
U00193,70,1,aggressive,Industrials,short
U00194,48,3,balanced,Energy,long
U00195,39,8,aggressive,Industrials,medium
U00196,28,3,aggressive,Utilities,short
